,"Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$"
"Palau","808.1","875.4","516.2","512.3","497.0","438.8","379.6","367.0","361.4","299.1","331.4","347.0","324.6","347.7","310.7","298.3","324.6","359.0"
"Panama","666.5","682.4","579.3","548.7","492.1","426.8","404.3","386.0","359.3","332.7","289.0","228.6","190.9","216.8","187.9","192.6","187.1","192.7"
"Papua New Guinea","46.3","43.1","37.8","60.5","55.6","52.2","37.0","26.1","26.0","26.0","23.5","21.0","18.7","17.3","13.0","13.2","13.2","15.8"
"Paraguay","173.3","168.9","172.2","194.8","158.0","158.2","132.0","93.6","77.4","66.0","52.0","40.2","29.4","27.0","22.4","19.2","30.6","38.8"
"Peru","210.7","194.6","190.0","197.6","174.4","162.9","138.5","123.2","104.2","89.2","74.7","70.0","66.7","65.7","62.0","58.2","51.5","45.0"
"Philippines","42.4","41.2","39.2","32.4","32.3","29.7","26.1","29.3","24.4","23.3","20.5","17.6","15.4","12.2","11.7","10.1","11.5","14.6"
"Poland","625.4","559.8","557.4","637.3","617.3","569.2","615.2","577.4","545.0","635.6","460.6","361.5","319.1","264.5","232.7","220.9","198.9","162.3"
"Portugal","1264.2","1194.4","1140.1","1311.8","1310.2","1257.0","1493.4","1543.1","1592.8","1586.9","1419.5","1252.5","1263.3","1192.0","997.7","801.7","699.8","681.1"
"Qatar","1331.5","1491.4","1733.5","1825.4","1543.2","1225.4","1011.3","893.0","938.4","991.5","988.5","993.6","990.9","964.1","905.0","463.5","414.8","358.5"
"Republic of Korea","1310.0","1174.7","1103.7","1093.4","987.4","905.1","886.5","810.8","654.2","657.7","720.6","628.3","505.6","407.1","360.8","307.5","284.3","238.5"
"Republic of Moldova","96.8","83.5","84.9","113.9","108.2","108.5","100.3","90.9","88.9","89.5","69.2","49.3","41.8","38.2","17.6","16.2","11.7","10.5"
"Republic of North Macedonia","221.2","208.4","199.3","219.7","229.9","194.3","205.4","184.9","185.9","202.9","163.2","140.3","132.8","130.5","119.5","92.2","82.7","87.4"
"Romania","436.2","372.3","344.7","397.1","391.0","308.7","319.8","377.3","353.5","422.8","338.1","230.7","203.1","140.8","119.2","77.6","62.9","55.4"
"Russian Federation","334.5","267.2","294.7","458.6","506.0","484.2","429.0","348.3","320.7","381.9","286.6","217.8","166.3","123.0","95.7","82.1","68.6","56.6"
"Rwanda","16.9","16.3","15.4","15.9","15.4","14.6","14.4","12.2","10.7","9.7","7.5","5.3","5.3","5.2","5.7","1.7","1.6","1.7"
"Saint Kitts and Nevis","420.7","401.8","341.9","344.8","316.1","308.3","307.0","296.7","300.3","277.8","288.4","292.1","250.0","228.4","208.0","198.9","191.2","186.7"
"Saint Lucia","225.2","205.7","203.2","189.8","196.1","186.4","163.9","156.0","148.7","135.3","123.9","119.5","111.1","103.1","100.7","103.0","100.6","99.4"
"Saint Vincent and the Grenadines","206.3","192.1","181.5","178.5","187.2","184.3","156.4","168.0","163.5","154.9","139.6","128.4","128.3","125.1","123.5","126.1","117.2","110.3"
"Samoa","173.7","173.5","176.3","182.6","166.5","160.5","149.8","145.0","138.8","124.3","105.8","97.5","86.4","72.6","57.8","57.5","47.8","52.6"
"San Marino","2744.7","2422.0","2524.5","3142.3","3274.7","3301.3","3485.9","3235.5","3346.0","3426.7","2971.5","2498.0","2331.9","2222.7","1609.7","1416.9","1405.0","1363.7"
"Sao Tome and Principe","54.6","45.1","27.5","43.2","43.1","29.1","29.3","23.1","18.7","13.8","14.8","4.6","40.4","35.7","38.9","20.7","18.4","19.1"
"Saudi Arabia","700.7","777.9","851.6","916.9","774.9","694.5","591.8","435.1","448.7","378.6","412.7","404.5","340.3","285.4","275.5","266.0","279.8","277.0"
"Senegal","11.5","13.2","12.8","14.7","15.7","15.7","17.5","14.5","18.0","19.1","15.5","17.8","15.6","14.9","12.7","9.0","9.1","7.6"
"Serbia","299.8","286.6","283.4","354.7","375.6","347.7","378.4","332.7","354.8","415.8","333.9","232.2","201.3","186.2","160.8","125.1","75.0","37.0"
"Seychelles","578.3","542.5","476.9","473.8","458.9","461.5","334.2","329.6","222.2","256.3","348.4","390.3","374.9","365.8","340.5","301.2","283.3","286.8"
"Sierra Leone","9.1","9.6","9.6","9.5","5.7","5.3","4.0","5.1","3.6","2.6","3.9","3.5","5.0","5.6","5.9","7.1","5.8","4.2"
"Singapore","1262.3","1178.8","1095.1","1007.7","881.8","732.2","632.6","543.1","463.5","475.7","363.3","320.8","284.8","269.2","307.3","235.7","197.1","298.2"
"Slovakia","938.3","937.3","874.0","1024.9","1009.5","945.3","990.0","927.3","960.9","936.8","704.5","503.9","447.2","399.4","299.9","224.3","187.5","180.0"
"Slovenia","1379.0","1325.9","1266.6","1452.5","1444.6","1399.3","1550.1","1458.3","1524.2","1566.4","1259.8","1106.0","1046.6","985.3","865.8","684.4","583.0","568.7"
"Solomon Islands","72.0","73.6","68.8","68.6","63.6","63.0","68.3","55.0","56.0","70.2","62.4","58.8","65.0","42.4","41.3","45.7","58.2","45.2"
"South Africa","267.8","230.5","252.1","273.8","287.2","318.7","325.2","284.8","208.7","188.7","191.5","175.0","145.4","133.5","87.0","56.5","70.8","81.6"
"South Sudan","1.9","","","","","","","","","","","","","","","","",""
"Spain","1770.0","1699.5","1674.8","1880.5","1866.7","1868.5","2134.8","2074.4","2195.6","2185.2","1881.0","1614.5","1473.7","1370.2","1164.0","830.5","741.6","715.6"
"Sri Lanka","68.5","66.0","66.5","62.1","62.9","48.2","50.8","43.9","40.8","40.2","35.8","33.4","30.2","26.9","23.3","22.9","21.7","23.4"
"Sudan","34.9","39.0","49.2","29.2","20.6","26.2","28.6","35.5","45.6","34.1","37.7","25.5","18.2","13.9","9.2","7.1","6.3","5.9"
"Suriname","198.7","220.4","293.2","192.2","191.9","174.4","159.6","177.0","182.4","154.0","159.4","151.5","113.3","98.5","75.7","75.0","45.4","81.5"
"Sweden","4941.8","4759.4","4686.2","5525.9","5606.0","5243.5","5362.7","3633.3","3402.9","3808.7","3537.5","3099.3","2921.6","2886.7","2588.3","2036.0","1776.1","1835.8"
"Switzerland","3035.9","2921.8","2984.9","3076.4","3042.5","3009.8","3035.1","2495.2","2353.9","2263.1","1914.7","1758.9","1797.2","1773.6","1621.5","1352.9","1161.5","1045.9"
"Syrian Arab Republic","","","","","","31.7","36.9","42.2","41.3","40.5","36.1","31.1","32.1","29.4","29.4","29.0","24.2","19.3"
"Tajikistan","16.8","15.9","18.8","22.9","19.8","15.4","10.9","8.7","7.2","9.6","5.6","3.8","3.3","2.8","1.8","1.5","1.5","1.2"
"Thailand","188.1","171.2","160.7","166.0","161.8","157.1","149.7","126.9","111.5","114.2","95.9","75.1","58.3","53.5","48.3","43.5","31.5","34.4"
"Timor-Leste","54.9","44.6","56.6","49.2","52.4","41.6","32.9","26.1","21.6","20.4","4.9","10.4","9.6","7.4","6.6","","",""
"Togo","6.7","7.8","7.2","8.8","8.2","9.2","8.4","8.2","5.1","4.4","3.7","3.1","2.7","2.4","2.0","1.5","1.3","1.2"
"Tonga","129.5","119.3","104.8","117.9","116.3","111.7","115.2","101.9","94.1","94.8","94.3","81.2","67.4","58.6","50.2","47.4","41.4","44.3"
"Trinidad and Tobago","598.0","561.6","574.2","533.2","524.0","457.1","455.0","414.9","385.7","374.6","321.4","266.1","267.6","193.9","170.0","140.7","122.7","102.5"
"Tunisia","143.1","145.3","152.9","169.2","170.1","155.7","154.5","135.8","128.9","126.7","109.5","94.8","87.6","86.8","77.6","65.2","60.0","58.9"
"Turkey","345.5","367.6","355.2","409.1","432.8","415.5","420.7","420.7","402.5","414.8","352.7","287.0","247.2","214.8","170.0","130.6","103.3","123.0"
"Turkmenistan","101.8","78.6","97.0","118.0","107.4","85.2","71.9","53.3","47.1","40.9","74.0","68.7","73.0","73.1","66.5","45.9","42.8","35.7"
"Tuvalu","452.0","428.7","422.7","478.5","472.0","468.2","486.2","425.1","315.2","289.4","264.9","241.4","221.3","204.1","247.9","192.2","249.6","356.2"
"Uganda","6.0","6.2","6.2","7.3","8.8","9.0","8.1","8.5","11.8","11.8","12.6","10.6","9.0","8.1","5.2","5.5","5.0","4.7"
"Ukraine","78.1","59.9","58.2","86.2","152.5","145.0","122.6","109.5","98.0","125.2","110.0","89.6","68.3","46.7","38.4","27.1","21.9","16.6"
"United Arab Emirates","976.7","938.6","998.9","1145.1","1120.1","1045.8","1074.7","962.9","986.9","856.4","642.4","564.6","520.1","508.4","538.8","521.0","594.3","538.1"
"United Kingdom of Great Britain and Northern Ireland","3064.2","3159.7","3460.5","3682.5","3363.1","2951.9","2950.9","2804.9","2788.3","3050.3","3126.0","2745.7","2513.3","2351.8","1918.0","1609.5","1418.2","1368.2"
"United Republic of Tanzania","14.7","14.4","11.1","11.5","10.7","9.5","9.3","10.0","9.6","14.3","10.1","11.1","10.1","8.0","5.7","4.8","3.9","2.7"
"United States of America","5139.3","4982.0","4817.3","4541.8","4224.9","4087.2","3965.3","3861.8","3718.6","3516.8","3328.5","3158.4","2928.1","2759.7","2576.8","2404.7","2217.2","2015.1"
"Uruguay","1127.4","977.2","956.6","1000.0","989.2","849.4","752.2","615.6","482.4","450.5","276.9","235.8","198.8","194.2","198.2","206.1","300.2","285.7"
"Uzbekistan","42.8","62.3","65.5","61.3","58.5","53.4","43.2","36.9","29.7","24.8","18.4","15.3","12.3","10.4","9.3","9.2","11.8","13.9"
"Vanuatu","65.0","59.2","58.0","17.5","67.3","69.5","75.2","55.1","51.4","59.6","52.2","43.9","40.4","41.6","39.4","35.5","34.3","36.3"
"Venezuela (Bolivarian Republic of)","15.0","71.5","216.2","235.4","264.1","364.1","330.7","350.9","299.0","286.3","334.6","309.9","152.9","156.9","122.1","129.9","173.8","160.9"
"Viet Nam","63.0","58.3","48.8","48.8","55.8","45.3","34.4","31.0","23.2","22.2","17.4","15.2","12.8","10.2","7.3","7.1","6.1","6.6"
"Yemen","","","7.3","12.9","15.5","17.6","14.7","15.2","14.3","19.3","15.6","14.7","13.5","13.5","14.5","13.2","13.3","12.8"
"Zambia","26.1","21.7","27.6","32.9","24.2","22.5","19.8","12.3","5.0","7.9","10.8","17.8","12.7","12.8","10.5","11.2","11.7","10.9"
"Zimbabwe","56.9","45.9","43.1","34.6","25.6","23.3","20.8","23.5","","","","","","","","","",""
